city,province,year,gdp,gdp_per_capita,secondary_value_added,industrial_output,population,employment,average_wage,fdi,fixed_asset_investment,education_proxy,telecom_or_internet_proxy,foreign_trade,source_name,source_file
Maoming,Guangdong,2022,3698.0,4.4607961399276235,10.36,,829.0,476465.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Maoming,Guangdong,2024,3987.0,6.3792,10.47,,625.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Mianyang,Sichuan,2021,3010.0,6.180698151950718,6.25,,487.0,84222.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Mianyang,Sichuan,2022,3350.0,6.35673624288425,5.69,,527.0,91150.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Mianyang,Sichuan,2024,4039.0,8.226069246435845,4.98,,491.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Nanchang,Jiangxi,2021,5746.0,9.178913738019169,1.84,,626.0,1239463.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Nanchang,Jiangxi,2022,6651.0,12.316666666666666,1.59,,540.0,1195024.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Nanchang,Jiangxi,2024,7213.0,10.97869101978691,1.5,,657.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Nanjing,Jiangsu,2021,14818.0,15.899141630901287,2.0,,932.0,2161081.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Nanjing,Jiangsu,2022,16356.0,22.283378746594007,1.86,,734.0,2178991.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Nanjing,Jiangsu,2024,17421.0,18.241884816753927,1.82,,955.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Nantong,Jiangsu,2021,10036.0,12.983182406209574,2.61,,773.0,1663678.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Nantong,Jiangsu,2022,11027.0,14.663563829787234,2.52,,752.0,1656891.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Nantong,Jiangsu,2024,11813.0,15.24258064516129,2.52,,775.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Ningbo,Zhejiang,2021,12409.0,13.17303609341826,1.27,,942.0,1647943.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Ningbo,Zhejiang,2022,14595.0,23.616504854368934,1.11,,618.0,1656500.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Ningbo,Zhejiang,2024,16453.0,16.96185567010309,1.06,,970.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
