term,coef,std_err,p_value,n_obs,r_squared,model,formula,note,exposure_source
C(city)[T.Lhasa],-0.006485637511956299,0.24806700343749938,0.9791419233814339,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Lianyungang],-0.2300747910591436,0.13820834396853288,0.09597354608669291,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Liaocheng],-0.40805153032505775,0.14892197968728169,0.006143252441945714,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Lingyuan],-0.06563775123070834,0.1307537011025841,0.6156707850148351,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Linyi],-0.0804496840647802,0.12471804417983293,0.5188931752790579,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Liupanshui],-0.14176855079818196,0.14485977978568731,0.32774773381768263,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Liuzhou],-0.19114501686284427,0.12233216147318327,0.11816829363917102,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Liyang],-0.46153809793392975,0.14685610878390676,0.0016734512092687229,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Luoyang],-0.09324846750325819,0.13512112907370025,0.4901248981163009,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Luzhou],-0.40805153032505936,0.14892197968728202,0.0061432524419456225,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Maoming],-0.16871407012266815,0.13806119414460175,0.22169861311455763,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Mengzhou],-0.1911450168628478,0.12233216147318413,0.11816829363916678,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Mianyang],-0.19388508455898476,0.11907239274678989,0.10346216618328906,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Mudanjiang],-0.354564962716184,0.16215689335384031,0.02877502691312724,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Nanchang],-0.18951831645498915,0.12037443808767824,0.11539346619253389,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Nanjing],-0.061549724912327075,0.12802007133130677,0.6306715612833033,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Nantong],0.044416125193843026,0.10604437918824297,0.6753296410831574,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Ningbo],0.005661164171886779,0.10188358008763307,0.9556883235577124,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Ningde],-0.26291689767031734,0.18445697469909766,0.1540542542299803,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Ordos],-0.05997220512083101,0.228787362442291,0.7932206328898694,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Pingdingshan],-0.17084899010838706,0.15722052886721674,0.2771766086068057,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Putian],-0.04177504928998371,0.14841068342844707,0.7783401466797701,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Qingdao],0.06915927419786388,0.12857206048478464,0.5906441399011113,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Qinhuangdao],-0.19903108286300195,0.11706711751243257,0.08910364121713418,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Qinzhou],0.0072752001269784095,0.13235156996114794,0.9561633614347543,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Qiqihar],-0.16871407012267237,0.13806119414460155,0.2216986131145453,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Quanzhou],-0.23206226007541425,0.14640347852901192,0.11294655407356459,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Quzhou],-0.46153809793393474,0.14685610878390706,0.001673451209268568,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Rizhao],0.28634078926858214,0.11209992538721625,0.01063907691517139,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Sanming],-0.065637751230708,0.13075370110258347,0.6156707850148351,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Sanya],-0.40805153032505814,0.14892197968728216,0.006143252441945819,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Shanghai],0.1287189509217606,0.02274127072332014,1.5124277928022257e-08,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Shaoxing],-0.22433555771725938,0.15246129710661507,0.14117587334673948,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Shenyang],-0.06885501612195788,0.02980111919459829,0.020861360276381788,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Shenzhen],0.01190650663699118,0.030207491968339988,0.6934648314447031,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Shihezi],-0.22220063773154175,0.12980561807590676,0.08693441160164153,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Shijiazhuang],-0.11782538006431797,0.12315004647647752,0.3386870056530632,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Shizuishan],-0.46153809793393324,0.14685610878390692,0.0016734512092686081,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Suzhou],-0.11827445129825334,0.022493497643070525,1.4550243226203902e-07,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Tai'an],-0.43479481412949195,0.14640347852901153,0.002979555040353224,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Taiyuan],-0.056072989825769026,0.14685610878390715,0.7025929110256068,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Taizhou],-0.20923684897357653,0.12581167435843732,0.0962932895176979,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Tangshan],0.14244878665568877,0.1296631634007785,0.2719397664188645,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Tianjin],0.14336084415821843,0.04531206274893571,0.001556937781233589,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Tieling],-0.006485637511957659,0.24806700343749846,0.9791419233814295,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Tongchuan],-0.11912431883957908,0.11209992538721653,0.2879353083006184,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Tongling],-0.10868048923424366,0.0767754347850263,0.15690339748794035,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Tongxiang],-0.14176855079817685,0.14485977978568648,0.3277477338176973,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
